זמן תשובה,רב,תשובה
2021-01-12 18:34:14,הרב צביקה,"אם הוא באמת לא יודע ולא יודע לבדוק, זו הונאה לקנות ממנו בזול."
2021-01-12 19:07:56,הרב צביקה,נכון
2021-02-12 14:56:45,הרב צביקה,"קוקה קולה יש סוגים שונים, כי בכל מדינה ישטעם קצת שונה וחכן צריך כשרות"
2021-02-12 14:57:26,הרב צביקה,"אסור להכנס לכנסיה כי זה מקום של עבודה זרה, ויש איסור הנאה"
2021-02-12 15:51:06,הרב צביקה,בתוך תפידנית אפשר אם אין ברירה אחרת
2021-02-12 15:51:07,הרב צביקה,אפשר להדליק נרות מפלג המנחה 15:31 היום
2021-02-12 16:55:42,הרב צביקה,לרוץ מהר.
2021-02-12 21:17:04,הרב צביקה,שיתן לך במתנה חלק מהנרות
2021-03-12 10:56:09,הרב צביקה,"סתם יום עדיף מנחה קטנה סמוך לשקיעה, אך היום עדיף להתפלל מנחה גדולה כדי להדליק נרות חנוכה סמוך לשקיעה, אך ודאי לשים לב לא להתקרב יותר מידי לשקיעה שלא לחלל שבת."
2021-03-12 11:26:47,הרב צביקה,"קופסה מברזל לאחר שהתרוקנה ורוצים להשתמש בה, אם היא תוצרת חו""ל צריכה טבילה"
2021-03-12 11:26:58,הרב צביקה,לא צריך להשאר ליד הנרות
2021-03-12 11:28:23,הרב צביקה,"מה שצולם קצת תמוה, כי הרב עובדיה כותב שלצורך כגון שרוצים לאכול ארוחת צהרים, עדיף להתפלל מנחה גדולה, קל וחומר לצורך מצווה."
2021-03-12 11:47:44,הרב צביקה,כך נוהגים
2021-03-12 11:49:28,הרב צביקה,זו מחלוקת ראשונים.
2021-03-12 11:49:54,הרב צביקה,"כלי שיש ספק אם הוא תוצרת חו""ל מטבילים ללא ברכה"
2021-03-12 11:51:49,הרב צביקה,תבשיל שנמצא בו יותר מ 3 חרקים אין לאוכלו.
2021-03-12 13:52:04,הרב צביקה,אפשר אם מנקים בין לבין
2021-03-12 14:09:23,הרב צביקה,לראות שנקי
2021-03-12 15:17:02,הרב צביקה,אם ברור שאבא גם רוצה
2021-03-12 15:35:54,הרב צביקה,"לא ברור, לא להעיר"
2021-03-12 15:47:47,הרב צביקה,אם אבא התעורר שלא בכוונה אין בעיה
2021-04-12 19:42:04,הרב צביקה,כן.
2021-04-12 19:58:49,הרב צביקה,עדיף שלא להשתמש בשבת.
2021-04-12 20:54:00,הרב צביקה,מותר להזמין ולדאוג שיש לו אפשרות להגיע לפני שבת ולהשאר
2021-04-12 21:15:59,הרב צביקה,לא כל כך שייך.
2021-05-12 14:22:16,הרב צביקה,כן
2021-05-12 14:47:39,הרב צביקה,👍🏻
2021-05-12 14:54:43,הרב צביקה,כן
2021-05-12 16:44:47,הרב צביקה,נכון.
2021-05-12 18:20:04,הרב צביקה,"הביאור הלכה כותב שמי שמתפלל רגיל בצאת הכוכבים, ידליק קודם נרות ואח""כ יתפלל ערבית."
2021-05-12 18:20:24,הרב צביקה,"מי שלא בהיתו והוא נשוי, אשתו מדליקה בבית ומוציאה אותו"
2021-06-12 16:12:04,הרב צביקה,"דברים לא, ט"
2021-06-12 16:12:17,הרב צביקה,"עיין שם ברש""י ובפרשנים."
2021-06-12 19:01:16,הרב צביקה,"לחם שנאפה על ידי גוי, אם הוא פת פלטר כלומר פת של מאפיה מותר."
2021-06-12 19:02:37,הרב צביקה,תתנחם בבדיחה של ראובן
2021-07-12 09:56:39,הרב צביקה,אפשר אם אין ברירה להשתמש במיקרוגל לא כשר על ידי 2 כיסויים אטומים.
2021-07-12 09:57:01,הרב צביקה,מותר לשים רעב נגד מזיקים.
2021-07-12 10:22:48,הרב צביקה,ניקוי רציני.
2021-07-12 13:21:33,הרב צביקה,"אם אפשר למחזר, וזורקים לפח עלול לעבור על בל תשחית"
2021-07-12 13:22:00,הרב צביקה,להתפלל בזמן ללא תפילין
2021-07-12 18:06:53,הרב צביקה,השריה במים עם סבון כלים.
2021-07-12 18:07:16,הרב צביקה,שהכל
2021-07-12 19:05:43,הרב צביקה,שריה של 2 - 3 דקות
2021-07-12 19:07:05,הרב צביקה,בעקרון אדם ירא שמים ושומר תורה ומצוות אפשר לאכול ממנו כי עד אחד נאמן באיסורין.
2021-07-12 19:20:36,הרב צביקה,להסתכל טוב אם אין עלים אכולים או מקומטים.
2021-07-12 19:27:35,הרב צביקה,"כנ""ל."
2021-07-12 19:27:54,הרב צביקה,כמובן עדיף לקנות גידול מפוקח מתולעים אם אפשר
2021-08-12 13:24:41,הרב צביקה,ברכה ראשונה של בורא פרי הגפן מוציאה את כל המשקים.
2021-08-12 18:44:52,הרב צביקה,לא יודע
2021-08-12 18:54:33,הרב צביקה,אין
2021-08-12 21:03:19,הרב צביקה,מסכים
2021-09-12 16:40:22,הרב צביקה,נכון.
2021-09-12 17:42:02,הרב צביקה,אין איסור
2021-09-12 18:27:07,הרב צביקה,מה פירוש כוונות פשוטות ?
2021-09-12 18:28:26,הרב צביקה,מדובר שיש הבל ואדים.
2021-09-12 18:51:49,הרב צביקה,לא.
2021-09-12 22:25:35,הרב צביקה,כן
2021-09-12 23:31:58,הרב צביקה,עונג שבת אצלי בשעה 21:30
2021-10-12 08:49:26,הרב צביקה,בלי ברכה
2021-10-12 11:25:54,הרב צביקה,ירקות נקבעת קדושתן על פי הלקיטה.
2021-10-12 11:26:28,הרב צביקה,מנחה קצרה (כשאין ברירה)
2021-10-12 11:49:29,הרב צביקה,"אם אפשר, עדיף לעצור כדי לכוון יותר"
2021-10-12 13:13:54,הרב צביקה,אם אין זמן ואפשרות אפשר לברך בנסיעה
2021-10-12 13:14:23,הרב צביקה,"בהנחת תפילין לא חייבים להתפלל, העיקר להגיד שמע והיה אם שמע"
2021-10-12 13:14:49,הרב צביקה,לדעת הרב עובדיה אם לא בטוח שיצא דם מותר
2021-10-12 13:23:21,הרב צביקה,"כנ""ל"
2021-10-12 14:36:33,הרב צביקה,או שמישהו מדליק היכן שאתה יישן
2021-10-12 15:16:27,הרב צביקה,נראה שכן
2021-12-12 22:33:46,הרב צביקה,"לספרדים אם יש טעם מתוק, לאשכנזים צריך שיהיה מיעוט מים ורוב מיץ ושמן"
2021-12-12 22:34:02,הרב צביקה,בכל מקרה אם קובעים סעודה מברכים המוציא
2022-02-01 08:07:08,הרב צביקה,"1. מותר, ולשמור על העיניים."
2022-02-01 21:17:36,הרב צביקה,אם אפשר צריך לחזור למקום האכילה ולברך שם.
2022-03-01 09:33:24,הרב צביקה,"לא מקפידים היום עלזה, כי אין חושדים היום לסכנה במים."
2022-03-01 15:27:03,הרב צביקה,הכל תלוי בבעל הבית
2022-03-01 17:16:11,הרב צביקה,"צריך שהכלי יחזיק רביעית = 86 סמ""ק"
2022-03-01 19:53:33,הרב צביקה,יציאה מהמקום / כניסה לשירותים / התעסקות עם דברים אחרים
2022-03-01 20:25:46,הרב צביקה,כן
2022-03-01 22:33:27,הרב צביקה,👍🏻
2022-04-01 10:24:00,הרב צביקה,"1. מאכלים המשכחים את הלימוד אין איסור, אבל כדאי להזהר."
2022-04-01 10:27:46,הרב צביקה,בשבת אסור להרוג
2022-04-01 16:28:19,הרב צביקה,א. מותר בכלים שיש בהם צורך בשבת.
2022-04-01 17:33:31,הרב צביקה,חיובי
2022-04-01 18:19:49,הרב צביקה,אם המרית אינה בת יומה מותר לאכול את החביתה.
2022-04-01 18:20:50,הרב צביקה,לא על שמואל
2022-04-01 18:21:21,הרב צביקה,ליבון קל כלומר לשים על האש שבגז הפוך
2022-04-01 18:49:52,הרב צביקה,אש
2022-04-01 19:42:17,הרב צביקה,לאבל אסור להנות מהשירים.
2022-04-01 19:44:44,הרב צביקה,אתה יכול להתחשב בו ולכבות.
2022-05-01 08:47:19,הרב צביקה,כן.
2022-05-01 09:00:41,הרב צביקה,לא
2022-05-01 09:39:18,הרב צביקה,לא
2022-05-01 09:39:56,הרב צביקה,אם הוא משתתף מיוזמתו ומכיר ומעריך את התורה וקיום המצוות יש מקילים
2022-05-01 09:40:13,הרב צביקה,כן.
2022-05-01 13:04:18,הרב צביקה,יש מחלוקת מתי מתחיל בדיוק  עלות השחר
2022-05-01 13:05:34,הרב צביקה,ספרדים יכולים לברך ברכות התורה וברכות השחר מחצות.
2022-05-01 20:17:08,הרב צביקה,אם נקרעו 2 חוטים משני צידי הקשר זה פסול.
2022-05-01 20:17:15,הרב צביקה,קר אין בעיה
2022-05-01 21:59:47,הרב צביקה,כל לימוד תורה ותפילה
2022-05-01 22:57:39,הרב צביקה,כן
2022-05-01 23:03:38,הרב צביקה,לא לתקן.
2022-08-01 18:51:42,הרב צביקה,אפשר.
2022-08-01 19:58:22,הרב צביקה,מותר לקחת.
2022-08-01 20:19:40,הרב צביקה,"אם המאכל החלבי היה חם, אם המזלג בשרי בן יומו כלומר היה ב 24 שעות האחרונות בתוך כלי ראשון בשרי - הכל נאסר והכלים צריכים הכשרה."
2022-08-01 20:21:18,הרב צביקה,"אם המאכל היה נוזלי בהגעלה, אם המאכל היה מוצק בליבון באש של הגז"
2022-08-01 22:02:33,הרב צביקה,כן
2022-08-01 22:12:04,הרב צביקה,אפשר כל 30 יום
2022-09-01 08:43:49,הרב צביקה,לא.
2022-09-01 13:16:05,הרב צביקה,צריך להוריד מדבקות.
2022-09-01 13:16:24,הרב צביקה,👍🏻
2022-09-01 14:10:08,הרב צביקה,אם החוק קובע שאסור אז אסור
2022-09-01 15:43:45,הרב צביקה,נכון.
2022-09-01 18:37:16,הרב צביקה,לא
2022-09-01 18:58:50,הרב צביקה,ברבו המובהק זה חוסר כבוד לידו
2022-09-01 18:59:25,הרב צביקה,זה מרטה שהוא שווה לרבו
2022-09-01 19:01:17,הרב צביקה,שמא יפיח
2022-09-01 19:27:07,הרב צביקה,למד ממנו רוב חכמתו
2022-10-01 09:39:54,הרב צביקה,צריך להגיד פסוק או משנה או לשבת רגע.
2022-10-01 14:21:41,הרב צביקה,כדי להציל אדם אחר מותר להכנס לספק סכנה
2022-10-01 14:22:01,הרב צביקה,"הרמב""ם שמסביר את גרמי השמים לא ברור למה נוא מתכוון דברים גשמיים או רוחניים"
2022-10-01 14:26:37,הרב צביקה,לעשות חיתוכים ואז למלוח.
2022-10-01 14:26:37,הרב צביקה,טחול מליחה רגילה כמו בשר
2022-10-01 14:32:23,הרב צביקה,גם
2022-10-01 14:35:23,הרב צביקה,ר' יוסף קארו התפלל על זה.
2022-10-01 14:40:57,הרב צביקה,במלחמה ממש הציץ אליעזר פוסק שחייל ממש צריך להכנס לסכנה ממשית.
2022-10-01 14:51:51,הרב צביקה,במצב של מלחמה כמו היום כן.
2022-10-01 14:51:59,הרב צביקה,נכון
2022-10-01 14:52:07,הרב צביקה,נכון
2022-10-01 15:18:57,הרב צביקה,"אם העובר היה לו כבר צורה, השני שנולד אחריו לא עושה פדיון"
2022-10-01 16:36:30,הרב צביקה,להגיד שלום אבל לשאול לשלומה
2022-10-01 18:33:41,הרב צביקה,ביחד כן.
2022-10-01 19:06:37,הרב צביקה,נכון
2022-10-01 19:13:26,הרב צביקה,צריך להמעיט בקשר עם אשה זרה.
2022-10-01 19:49:04,הרב צביקה,הרב עובדיה התיר לכתחילה
2022-10-01 20:13:59,הרב צביקה,שאין בו חתיכות בשר שנראות לעין. ולא שומן
2022-10-01 22:27:26,הרב צביקה,נכון
2022-11-01 09:56:17,הרב צביקה,"אם כיוונת על הכל, או שהרוב הוא ירקות לא לברך"
2022-11-01 13:14:13,הרב צביקה,פוטר אם היה לפניו וכיוון
2022-11-01 13:14:44,הרב צביקה,לקנות עם כשרות של בדיקת תולעים
2022-11-01 13:56:43,הרב צביקה,יש בזה מחלוקת.
2022-12-01 05:09:33,הרב צביקה,"""צריך אדם להתרחק מהנשים מאד מאד"" (שו""ע אבן העזר כא,א)"
2022-12-01 09:23:38,הרב צביקה,"בין אם היה לפניו, בין אם כיוון"
2022-12-01 12:48:48,הרב צביקה,לא לדלג.
2022-12-01 13:26:24,הרב צביקה,כן
2022-12-01 13:26:34,הרב צביקה,מום למה ?
